FuelType, GearType, HorsePower, Make, Model, Price, Range, Year
Дизел, Автоматични, 110, Peugeot, 308, 6900, 197434, 2008
Дизел, Ръчни, 125, Ford, Mondeo, 8390, 214663, 2008
Бензин, Автоматични, 241, Land Rover, Discovery, 59900, 2382, 2016
Дизел, Автоматични, 320, Audi, A6, 66200, 99243, 2015
Дизел, Ръчни, 75, Renault, Clio, 9990, 17000, 2015
Дизел, Ръчни, 75, Peugeot, Partner, 10499, 203456, 2013
Дизел, Автоматични, 190, Volvo, V60, 95990, 9000, 2019
Бензин, Автоматични, 449, BMW, 750, 79900, 15920, 2016
Дизел, Ръчни, 147, Subaru, Forester, 18990, 131000, 2014
Дизел, Автоматични, 112, Peugeot, 508, 17500, 207627, 2011
Бензин, Автоматични, 170, VW, Beetle, 21990, 74500, 2015
Дизел, Ръчни, 140, Peugeot, 508, 16200, 212221, 2011
Бензин, Ръчни, 90, Citroen, Berlingo, 8900, 194555, 2010
Дизел, Ръчни, 100, Peugeot, 308, 18900, 97452, 2016
Дизел, Автоматични, 320, Audi, A6, 67900, 111897, 2015
Дизел, Ръчни, 75, Renault, Clio, 9990, 156000, 2015
Дизел, Автоматични, 200, Mitsubishi, Pajero, 38400, 137000, 2015
Дизел, Ръчни, 140, VW, Tiguan, 19900, 200321, 2010
Бензин, Автоматични, 300, Porsche, Cayenne, 57900, 68738, 2014
Дизел, Автоматични, 258, Land Rover, Range Rover, 81000, 117828, 2019
Дизел, Автоматични, 177, Audi, Q5, 59000, 41254, 2016
Дизел, Ръчни, 115, Peugeot, 3008, 21599, 126000, 2014
Дизел, Ръчни, 150, Audi, A6, 3300, 240492, 2003
Бензин, Ръчни, 160, VW, Passat, 21500, 93093, 2011
Дизел, Ръчни, 100, Peugeot, 301, 19999, 58697, 2017
Дизел, Ръчни, 110, VW, Jetta, 29900, 27601, 2016
Дизел, Автоматични, 350, Audi, A8, 63750, 113463, 2012
Бензин, Ръчни, 150, BMW, 320, 9900, 189000, 2006
Дизел, Автоматични, 320, BMW, 740, 141290, 25614, 2018
Дизел, Автоматични, 180, VW, Amarok, 42000, 62075, 2014
Бензин, Автоматични, 272, Mercedes-Benz, ML, 29900, 142603, 2009
Дизел, Автоматични, 320, Mercedes-Benz, S, 25500, 271992, 2007
Бензин, Автоматични, 190, Volvo, S90, 76990, 3000, 2018
Дизел, Автоматични, 235, Mercedes-Benz, S, 18900, 186774, 2006
Бензин, Автоматични, 626, Bentley, Flying Spur, 95500, 58320, 2014
Дизел, Автоматични, 265, BMW, 730, 120990, 26000, 2017
Бензин, Автоматични, 605, Audi, S8, 139900, 79100, 2017
Дизел, Автоматични, 200, Volvo, XC 90, 19900, 100000, 2014
Дизел, Автоматични, 320, BMW, 740, 135690, 22000, 2017
Дизел, Автоматични, 320, BMW, 740, 141290, 24789, 2018
Бензин, Ръчни, 117, Chevrolet, El Camino, 24900, 53912, 1982
Бензин, Автоматични, 400, Porsche, Macan, 91900, 68033, 2015
Дизел, Ръчни, 115, Fiat, Stilo, 2700, 92869, 2004
Дизел, Ръчни, 105, VW, Golf, 20190, 95640, 2015
Дизел, Ръчни, 136, VW, Crafter, 26000, 207246, 2014
Бензин, Автоматични, 560, Bentley, Continental, 49999, 174285, 2004
Дизел, Ръчни, 140, Ford, S-Max, 12390, 156617, 2008
Дизел, Автоматични, 245, VW, Touareg, 44900, 157954, 2012
Дизел, Автоматични, 235, Volvo, XC 90, 95000, 42000, 2018
Бензин, Ръчни, 116, BMW, 316, 3900, 266073, 2003
Дизел, Автоматични, 456, Mercedes-Benz, S, 75000, 182000, 2015
Дизел, Ръчни, 92, Peugeot, Partner, 14900, 104845, 2015
Бензин, Автоматични, 120, Peugeot, 508, 14999, 156200, 2012
Дизел, Автоматични, 306, Land Rover, Range Rover, 135000, 58400, 2017
Дизел, Автоматични, 150, Land Rover, Discovery, 64900, 35965, 2017
